Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,143.0,-83.0,-90.0,top
C10,10nF,C_0603_1608Metric,144.5,-105.725,-90.0,top
C11,1uF,C_0603_1608Metric,140.5,-86.0,-90.0,top
C12,100nF,C_0603_1608Metric,188.65,-101.6,90.0,top
C13,100nF,C_0603_1608Metric,189.0,-91.0,-90.0,top
C14,100nF,C_0603_1608Metric,138.225,-139.0,0.0,top
C15,100nF,C_0603_1608Metric,153.725,-139.0,0.0,top
C16,100nF,C_0603_1608Metric,168.5,-139.0,0.0,top
C17,100nF,C_0603_1608Metric,183.725,-139.0,0.0,top
C18,100nF,C_0603_1608Metric,197.0,-148.5,0.0,top
C19,100nF,C_0603_1608Metric,178.0,-85.5,-90.0,top
C2,100nF,C_0603_1608Metric,145.5,-83.0,-90.0,top
C20,100nF,C_0603_1608Metric,126.775,-139.5,180.0,top
C3,100nF,C_0603_1608Metric,147.0,-83.0,-90.0,top
C4,100nF,C_0603_1608Metric,148.5,-83.0,-90.0,top
C5,10uF,C_0603_1608Metric,180.5,-116.5,-90.0,top
C6,10uF,C_0603_1608Metric,167.5,-125.0,-90.0,top
C7,10uF,C_0603_1608Metric,153.0,-124.5,-90.0,top
C8,100uF,CP_Elec_6.3x7.7,173.5,-126.0,90.0,top
C9,220uF,CP_Elec_6.3x7.7,145.5,-125.5,90.0,top
D1,ESD9B5.0ST5G,D_SOD-923,185.5,-119.92,-90.0,top
D2,ESD9B5.0ST5G,D_SOD-923,184.5,-119.92,-90.0,top
D3,ESD9B5.0ST5G,D_SOD-923,183.5,-119.92,-90.0,top
D4,BAT54S,SOT-23,132.05,-103.5,0.0,top
D5,BAT54S,SOT-23,132.0,-111.0,0.0,top
D6,BAT54S,SOT-23,132.0,-118.0625,0.0,top
D7,BAT54S,SOT-23,188.5,-137.5,0.0,top
D8,BAT54S,SOT-23,132.0,-96.5625,0.0,top
D9,SS34,D_SMA,162.0,-114.0,90.0,top
D_FLOAT1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,197.0,-144.0,270.0,top
D_LIGHT1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,183.585,-144.0,270.0,top
D_PUMP1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,138.415,-144.0,270.0,top
D_PUMP2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,153.585,-144.0,270.0,top
D_SYS1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,182.0,-85.5,90.0,top
D_VALVE1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,168.585,-144.0,270.0,top
H1,MountingHole,MountingHole_3.2mm_M3,124.5,-156.0,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3,198.0,-156.0,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3,124.5,-85.0,0.0,top
H4,MountingHole,MountingHole_3.2mm_M3,198.0,-85.0,0.0,top
J1,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical,197.73,-100.46,180.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,196.04,-116.68,270.0,top
J3,Conn_01x02,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",125.995,-96.73,90.0,top
J4,Conn_01x02,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",125.955,-103.73,90.0,top
J5,Conn_01x02,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",125.955,-110.73,90.0,top
J6,Conn_01x02,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",125.955,-117.73,90.0,top
J7,Conn_01x02,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",195.505,-135.23,-90.0,top
J_LIGHT1,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,183.5,-155.5,0.0,top
J_PUMP1,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,138.5,-155.5,0.0,top
J_PUMP2,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,153.5,-155.5,0.0,top
J_VALVE1,Conn_01x03,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,168.5,-155.5,0.0,top
L1,33uH,L_6.3x6.3_H3,153.5,-113.75,-90.0,top
R1,5.1k,R_0603_1608Metric,188.5,-119.5,-90.0,top
R10,22,R_0603_1608Metric,147.0,-87.0,0.0,top
R11,22,R_0603_1608Metric,147.0,-91.5,0.0,top
R12,330,R_0603_1608Metric,155.175,-107.5,0.0,top
R2,5.1k,R_0603_1608Metric,188.5,-113.5,90.0,top
R3,22,R_0603_1608Metric,146.5,-100.0,90.0,top
R4,22,R_0603_1608Metric,148.5,-100.0,90.0,top
R5,10k,R_0603_1608Metric,151.0,-105.675,-90.0,top
R6,2.2k,R_0603_1608Metric,147.5,-105.675,90.0,top
R7,10K,R_0603_1608Metric,143.0,-86.0,90.0,top
R8,22,R_0603_1608Metric,158.0,-104.175,90.0,top
R9,22,R_0603_1608Metric,147.0,-94.5,0.0,top
SW_GPIO0,SW_Push,SW_SPST_TL3342,182.0,-101.0,180.0,top
SW_MCU_EN1,SW_Push,SW_SPST_TL3342,182.35,-91.1,0.0,top
SW_RESET1,SW_Push,SW_SPST_TL3342,126.9,-133.85,-90.0,top
U1,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1,159.75,-91.45,0.0,top
U2,XL1509-3.3,SOIC-8_3.9x4.9mm_P1.27mm,161.5,-125.5,180.0,top
